iter	Passed	Remaining
699	71095	30469
700	71190	30365
701	71286	30261
702	71382	30157
703	71488	30057
704	71596	29958
705	71702	29859
706	71800	29755
707	71899	29653
708	71995	29549
709	72102	29450
710	72214	29352
711	72312	29250
712	72422	29151
713	72532	29053
714	72639	28954
715	72741	28852
716	72837	28749
717	72941	28648
718	73049	28549
719	73147	28446
720	73242	28342
721	73339	28238
722	73432	28134
723	73529	28030
724	73623	27926
725	73716	27821
726	73813	27718
727	73904	27612
728	73998	27508
729	74108	27409
730	74212	27309
731	74315	27208
732	74414	27105
733	74520	27005
734	74621	26904
735	74717	26801
736	74813	26697
737	74911	26594
738	75009	26491
739	75117	26392
740	75231	26295
741	75342	26197
742	75453	26099
743	75565	26001
744	75676	25902
745	75783	25802
746	75896	25705
747	75996	25603
748	76091	25499
749	76187	25395
750	76286	25293
751	76379	25188
752	76475	25085
753	76570	24981
754	76666	24878
755	76762	24775
756	76858	24672
757	76955	24568
758	77052	24466
759	77145	24361
760	77240	24258
761	77338	24155
762	77430	24051
763	77527	23948
764	77624	23845
765	77722	23742
766	77824	23641
767	77921	23538
768	78017	23435
769	78112	23332
770	78206	23228
771	78300	23125
772	78414	23027
773	78534	22931
774	78644	22832
775	78761	22735
776	78876	22637
777	78989	22539
778	79098	22439
779	79208	22340
780	79306	22238
781	79412	22137
782	79506	22034
783	79606	21932
784	79712	21832
785	79806	21728
786	79913	21628
787	80009	21525
788	80105	21422
789	80200	21319
790	80299	21216
791	80392	21113
792	80487	21010
793	80582	20906
794	80676	20803
795	80775	20701
796	80885	20602
797	80981	20499
798	81079	20396
799	81176	20294
800	81269	20190
801	81364	20087
802	81457	19984
803	81549	19880
804	81650	19778
805	81753	19677
806	81846	19574
807	81942	19471
808	82037	19368
809	82132	19265
810	82230	19163
811	82326	19060
812	82429	18959
813	82525	18857
814	82621	18754
815	82724	18653
816	82821	18551
817	82919	18449
818	83013	18345
819	83106	18242
820	83199	18139
821	83294	18037
822	83389	17934
823	83484	17831
824	83579	17728
825	83676	17626
826	83772	17524
827	83867	17421
828	83964	17319
829	84061	17217
830	84153	17114
831	84247	17011
832	84344	16909
833	84438	16806
834	84533	16704
835	84630	16602
836	84729	16500
837	84822	16397
838	84919	16295
839	85018	16193
840	85112	16091
841	85208	15989
842	85300	15886
843	85391	15783
844	85495	15682
845	85592	15580
846	85695	15479
847	85800	15379
848	85895	15277
849	85995	15175
850	86092	15073
851	86185	14971
852	86288	14870
853	86386	14768
854	86490	14667
855	86590	14566
856	86685	14464
857	86782	14362
858	86883	14261
859	86980	14159
860	87079	14058
861	87174	13955
862	87268	13853
863	87364	13751
864	87468	13651
865	87565	13549
866	87658	13447
867	87755	13345
868	87868	13245
869	87974	13145
870	88089	13046
871	88200	12946
872	88309	12846
873	88415	12746
874	88532	12647
875	88644	12547
876	88751	12447
877	88858	12347
878	88967	12246
879	89069	12145
880	89176	12045
881	89289	11945
882	89388	11844
883	89493	11743
884	89585	11641
885	89682	11539
886	89778	11437
887	89878	11336
888	89977	11234
889	90084	11134
890	90184	11032
891	90282	10931
892	90386	10830
893	90482	10728
894	90578	10626
895	90672	10524
896	90767	10422
897	90862	10320
898	90957	10218
899	91063	10118
900	91180	10018
901	91303	9919
902	91426	9821
903	91537	9720
904	91640	9619
905	91742	9518
906	91836	9416
907	91933	9314
908	92040	9214
909	92133	9112
910	92227	9010
911	92325	8908
912	92420	8806
913	92514	8704
914	92610	8603
915	92703	8501
916	92798	8399
917	92903	8298
918	92997	8196
919	93094	8095
920	93189	7993
921	93282	7891
922	93380	7790
923	93474	7688
924	93575	7587
925	93680	7486
926	93775	7384
927	93871	7283
928	93965	7181
929	94061	7079
930	94162	6978
931	94259	6877
932	94354	6775
933	94462	6675
934	94571	6574
935	94677	6473
936	94790	6373
937	94887	6271
938	95003	6171
939	95109	6070
940	95222	5970
941	95330	5869
942	95437	5768
943	95550	5668
944	95666	5567
945	95776	5467
946	95882	5366
947	95985	5265
948	96082	5163
949	96177	5061
950	96282	4960
951	96377	4859
952	96472	4757
953	96577	4656
954	96675	4555
955	96771	4453
956	96867	4352
957	96973	4251
958	97071	4150
959	97169	4048
960	97271	3947
961	97375	3846
962	97475	3745
963	97575	3643
964	97665	3542
965	97759	3440
966	97854	3339
967	97947	3237
968	98045	3136
969	98142	3035
970	98234	2933
971	98330	2832
972	98427	2731
973	98520	2629
974	98617	2528
975	98711	2427
976	98807	2326
977	98903	2224
978	98998	2123
979	99089	2022
980	99188	1921
981	99285	1819
982	99383	1718
983	99488	1617
984	99594	1516
985	99685	1415
986	99782	1314
987	99878	1213
988	99974	1111
989	100080	1010
990	100194	909
991	100301	808
992	100410	707
993	100523	606
994	100632	505
995	100743	404
996	100855	303
997	100959	202
998	101056	101
999	101148	0
